    PID    PPID STAT CMD
      1       0 Ss   /usr/lib/systemd/systemd --switched-root --system --deserialize=52 splash
      2       0 S    [kthreadd]
      3       2 S    [pool_workqueue_release]
      4       2 I<   [kworker/R-rcu_gp]
      5       2 I<   [kworker/R-sync_wq]
      6       2 I<   [kworker/R-kvfree_rcu_reclaim]
      7       2 I<   [kworker/R-slub_flushwq]
      8       2 I<   [kworker/R-netns]
     10       2 I<   [kworker/0:0H-kblockd]
     13       2 I<   [kworker/R-mm_percpu_wq]
     14       2 S    [ksoftirqd/0]
     15       2 I    [rcu_preempt]
     16       2 S    [rcu_exp_par_gp_kthread_worker/1]
     17       2 S    [rcu_exp_gp_kthread_worker]
     18       2 S    [migration/0]
     19       2 S    [kprobe-optimizer]
     20       2 S    [idle_inject/0]
     21       2 S    [cpuhp/0]
     22       2 S    [cpuhp/2]
     23       2 S    [idle_inject/2]
     24       2 S    [migration/2]
     25       2 S    [ksoftirqd/2]
     27       2 I<   [kworker/2:0H-kblockd]
     28       2 S    [cpuhp/4]
     29       2 S    [idle_inject/4]
     30       2 S    [migration/4]
     31       2 S    [ksoftirqd/4]
     33       2 I<   [kworker/4:0H-i915_cleanup]
     34       2 S    [cpuhp/6]
     35       2 S    [idle_inject/6]
     36       2 S    [migration/6]
     37       2 S    [ksoftirqd/6]
     39       2 I<   [kworker/6:0H-kblockd]
     40       2 S    [cpuhp/8]
     41       2 S    [idle_inject/8]
     42       2 S    [migration/8]
     43       2 S    [ksoftirqd/8]
     45       2 I<   [kworker/8:0H-kblockd]
     46       2 S    [cpuhp/10]
     47       2 S    [idle_inject/10]
     48       2 S    [migration/10]
     49       2 S    [ksoftirqd/10]
     51       2 I<   [kworker/10:0H-kblockd]
     52       2 S    [cpuhp/12]
     53       2 S    [idle_inject/12]
     54       2 S    [migration/12]
     55       2 S    [ksoftirqd/12]
     57       2 I<   [kworker/12:0H-kblockd]
     58       2 S    [rcu_exp_par_gp_kthread_worker/2]
     59       2 S    [cpuhp/14]
     60       2 S    [idle_inject/14]
     61       2 S    [migration/14]
     62       2 S    [ksoftirqd/14]
     64       2 I<   [kworker/14:0H-kblockd]
     65       2 S    [cpuhp/16]
     66       2 S    [idle_inject/16]
     67       2 S    [migration/16]
     68       2 S    [ksoftirqd/16]
     70       2 I<   [kworker/16:0H-kblockd]
     71       2 S    [cpuhp/17]
     72       2 S    [idle_inject/17]
     73       2 S    [migration/17]
     74       2 S    [ksoftirqd/17]
     76       2 I<   [kworker/17:0H-kblockd]
     77       2 S    [cpuhp/18]
     78       2 S    [idle_inject/18]
     79       2 S    [migration/18]
     80       2 S    [ksoftirqd/18]
     82       2 I<   [kworker/18:0H-kblockd]
     83       2 S    [cpuhp/19]
     84       2 S    [idle_inject/19]
     85       2 S    [migration/19]
     86       2 S    [ksoftirqd/19]
     87       2 I    [kworker/19:0-mm_percpu_wq]
     88       2 I<   [kworker/19:0H-kblockd]
     89       2 S    [cpuhp/20]
     90       2 S    [idle_inject/20]
     91       2 S    [migration/20]
     92       2 S    [ksoftirqd/20]
     94       2 I<   [kworker/20:0H-kblockd]
     95       2 S    [cpuhp/21]
     96       2 S    [idle_inject/21]
     97       2 S    [migration/21]
     98       2 S    [ksoftirqd/21]
    100       2 I<   [kworker/21:0H-kblockd]
    101       2 S    [cpuhp/22]
    102       2 S    [idle_inject/22]
    103       2 S    [migration/22]
    104       2 S    [ksoftirqd/22]
    106       2 I<   [kworker/22:0H-kblockd]
    107       2 S    [cpuhp/23]
    108       2 S    [idle_inject/23]
    109       2 S    [migration/23]
    110       2 S    [ksoftirqd/23]
    112       2 I<   [kworker/23:0H-kblockd]
    113       2 S    [cpuhp/1]
    114       2 S    [idle_inject/1]
    115       2 S    [migration/1]
    116       2 S    [ksoftirqd/1]
    118       2 I<   [kworker/1:0H-kblockd]
    119       2 S    [cpuhp/3]
    120       2 S    [idle_inject/3]
    121       2 S    [migration/3]
    122       2 S    [ksoftirqd/3]
    124       2 I<   [kworker/3:0H-kblockd]
    125       2 S    [cpuhp/5]
    126       2 S    [idle_inject/5]
    127       2 S    [migration/5]
    128       2 S    [ksoftirqd/5]
    130       2 I<   [kworker/5:0H-kblockd]
    131       2 S    [cpuhp/7]
    132       2 S    [idle_inject/7]
    133       2 S    [migration/7]
    134       2 S    [ksoftirqd/7]
    136       2 I<   [kworker/7:0H-kblockd]
    137       2 S    [cpuhp/9]
    138       2 S    [idle_inject/9]
    139       2 S    [migration/9]
    140       2 S    [ksoftirqd/9]
    142       2 I<   [kworker/9:0H-kblockd]
    143       2 S    [cpuhp/11]
    144       2 S    [idle_inject/11]
    145       2 S    [migration/11]
    146       2 S    [ksoftirqd/11]
    148       2 I<   [kworker/11:0H-kblockd]
    149       2 S    [cpuhp/13]
    150       2 S    [idle_inject/13]
    151       2 S    [migration/13]
    152       2 S    [ksoftirqd/13]
    154       2 I<   [kworker/13:0H-kblockd]
    155       2 S    [cpuhp/15]
    156       2 S    [idle_inject/15]
    157       2 S    [migration/15]
    158       2 S    [ksoftirqd/15]
    159       2 I    [kworker/15:0-mm_percpu_wq]
    160       2 I<   [kworker/15:0H-kblockd]
    161       2 S    [kdevtmpfs]
    162       2 I<   [kworker/R-inet_frag_wq]
    163       2 I    [rcu_tasks_kthread]
    164       2 I    [rcu_tasks_rude_kthread]
    165       2 S    [kauditd]
    166       2 S    [khungtaskd]
    167       2 S    [oom_reaper]
    170       2 I<   [kworker/R-writeback]
    171       2 S    [kcompactd0]
    172       2 SN   [ksmd]
    173       2 SN   [khugepaged]
    174       2 I<   [kworker/R-kblockd]
    175       2 I<   [kworker/R-blkcg_punt_bio]
    176       2 I<   [kworker/R-kintegrityd]
    177       2 S    [irq/9-acpi]
    178       2 I    [kworker/16:1-events]
    179       2 I    [kworker/1:1-events]
    181       2 I<   [kworker/R-tpm_dev_wq]
    182       2 I<   [kworker/R-ata_sff]
    183       2 I<   [kworker/R-md_bitmap]
    184       2 I<   [kworker/R-md_llbitmap_io]
    185       2 I<   [kworker/R-md_llbitmap_unplug]
    186       2 I<   [kworker/R-md]
    187       2 I<   [kworker/R-edac-poller]
    188       2 I<   [kworker/R-devfreq_wq]
    189       2 S    [watchdogd]
    191       2 I<   [kworker/R-quota_events_unbound]
    192       2 S    [kswapd0]
    193       2 S    [ecryptfs-kthread]
    194       2 I<   [kworker/R-kthrotld]
    195       2 S    [irq/120-aerdrv]
    196       2 S    [irq/121-aerdrv]
    197       2 S    [irq/122-pciehp]
    198       2 S    [irq/123-aerdrv]
    199       2 I<   [kworker/R-acpi_thermal_pm]
    202       2 S    [hwrng]
    203       2 I<   [kworker/R-hfi-updates]
    204       2 I    [kworker/3:1-events]
    207       2 I    [kworker/7:1-mm_percpu_wq]
    208       2 I    [kworker/11:1-mm_percpu_wq]
    210       2 I    [kworker/9:1-events]
    212       2 I    [kworker/15:1-events]
    213       2 I    [kworker/5:1-events]
    215       2 I    [kworker/13:1-events]
    221       2 I<   [kworker/R-mld]
    222       2 I<   [kworker/R-ipv6_addrconf]
    223       2 I<   [kworker/R-kstrp]
    225       2 I<   [kworker/u97:0]
    236       2 I<   [kworker/R-charger_manager]
    551       2 I<   [kworker/R-nvme-wq]
    552       2 I<   [kworker/R-nvme-reset-wq]
    553       2 I<   [kworker/R-nvme-delete-wq]
    554       2 I<   [kworker/R-nvme-auth-wq]
    555       2 S    [scsi_eh_0]
    556       2 I<   [kworker/R-scsi_tmf_0]
    557       2 S    [scsi_eh_1]
    558       2 I<   [kworker/R-scsi_tmf_1]
    559       2 S    [scsi_eh_2]
    560       2 I<   [kworker/R-scsi_tmf_2]
    561       2 S    [scsi_eh_3]
    562       2 I<   [kworker/R-scsi_tmf_3]
    563       2 S    [scsi_eh_4]
    564       2 I<   [kworker/R-scsi_tmf_4]
    565       2 S    [scsi_eh_5]
    566       2 I<   [kworker/R-scsi_tmf_5]
    567       2 S    [scsi_eh_6]
    568       2 I<   [kworker/R-scsi_tmf_6]
    569       2 S    [scsi_eh_7]
    570       2 I<   [kworker/R-scsi_tmf_7]
    592       2 I    [kworker/7:2-cgroup_free]
    595       2 I<   [kworker/12:1H-kblockd]
    599       2 I<   [kworker/2:1H-kblockd]
    600       2 I<   [kworker/9:1H-kblockd]
    601       2 I<   [kworker/20:1H-kblockd]
    629       2 I<   [kworker/R-xfsalloc]
    630       2 I<   [kworker/R-xfs_mru_cache]
    631       2 I<   [kworker/R-xfs-buf/sda2]
    632       2 I<   [kworker/R-xfs-conv/sda2]
    633       2 I<   [kworker/R-xfs-reclaim/sda2]
    634       2 I<   [kworker/R-xfs-blockgc/sda2]
    635       2 I<   [kworker/R-xfs-inodegc/sda2]
    636       2 I<   [kworker/R-xfs-log/sda2]
    637       2 I<   [kworker/R-xfs-cil/sda2]
    638       2 S    [xfsaild/sda2]
    639       2 I<   [kworker/8:1H-kblockd]
    640       2 I<   [kworker/10:1H-kblockd]
    675       2 I    [kworker/9:2-events]
    843       2 I<   [kworker/22:1H-kblockd]
    851       2 I<   [kworker/0:1H-kblockd]
    858       2 S    [psimon]
    864       1 S<s  /usr/lib/systemd/systemd-journald
    877       2 I<   [kworker/14:1H-kblockd]
    879       2 I<   [kworker/16:1H-kblockd]
    902       1 Ss   /usr/lib/systemd/systemd-resolved
    904       1 Ss   /usr/lib/systemd/systemd-oomd
    906       1 Ss   /usr/lib/systemd/systemd-udevd
    907       2 I<   [kworker/6:1H-kblockd]
    908       2 I<   [kworker/18:1H-kblockd]
    912       2 S    [psimon]
    980       2 I    [kworker/5:2-mm_percpu_wq]
    981       2 S    [irq/135-mei_me]
   1012       2 I<   [kworker/13:1H-kblockd]
   1079       2 I<   [kworker/17:1H-kblockd]
   1182       2 I<   [kworker/21:1H-kblockd]
   1235       2 S    [nv_queue]
   1236       2 S    [nv_mem_pool_scrubber_queue]
   1237       2 S    [nv_mem_pool_scrubber_queue]
   1238       2 S    [nv_mem_pool_scrubber_queue]
   1239       2 S    [nv_queue]
   1240       2 S    [nv_open_q]
   1251       2 S    [nvidia-modeset/kthread_q]
   1252       2 S    [nvidia-modeset/deferred_close_kthread_q]
   1254       2 I<   [kworker/R-ttm]
   1255       2 S    [card1-crtc0]
   1256       2 S    [card1-crtc1]
   1257       2 S    [card1-crtc2]
   1258       2 S    [card1-crtc3]
   1259       2 S    [irq/138-nvidia]
   1260       2 S    [nvidia]
   1261       2 S    [nv_queue]
   1262       2 I    [kworker/13:2-xfs-inodegc/sda2]
   1265       2 I<   [kworker/4:1H-kblockd]
   1266       2 I    [kworker/11:2-events]
   1442       2 I<   [kworker/1:1H-kblockd]
   1584       2 I<   [kworker/19:1H-kblockd]
   1650       2 I<   [kworker/5:1H-kblockd]
   1792       2 S    [UVM global queue]
   1793       2 S    [UVM deferred release queue]
   1794       2 S    [UVM Tools Event Queue]
   2365       1 Ss   avahi-daemon: running [lhpc.local]
   2366       1 Ss   /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
   2367       1 Ss   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2371       1 Ssl  /usr/libexec/gnome-remote-desktop-daemon --system
   2377       1 Ss   /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
   2385       1 Ss   /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
   2390       1 Ssl  /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
   2397       1 Ssl  /usr/lib/snapd/snapd
   2398       1 Ssl  /usr/libexec/accounts-daemon
   2399       1 Ss   /usr/sbin/cron -f -P
   2404       1 Ssl  /usr/libexec/switcheroo-control
   2433       1 Ss   /usr/lib/systemd/systemd-logind
   2434       1 Ssl  /usr/sbin/thermald --systemd --dbus-enable --adaptive
   2435       1 Ssl  /usr/libexec/udisks2/udisksd
   2449    2365 S    avahi-daemon: chroot helper
   2467    2366 S    /usr/sbin/chronyd -n -F 1
   2527       1 Ssl  /usr/sbin/rsyslogd -n -iNONE
   2532    2467 S    /usr/sbin/chronyd -n -F 1
   2551       1 Ssl  /usr/sbin/NetworkManager --no-daemon
   2552       1 Ss   /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   2587       1 Ssl  /usr/sbin/ModemManager
   2690       1 Ss   /usr/sbin/cupsd -l
   2695       1 Ssl  /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   2737       1 Ssl  /usr/sbin/gdm3
   2748    2737 Sl   gdm-session-worker [pam/gdm-launch-environment]
   2797       1 Ss   /usr/lib/systemd/systemd --user
   2818       2 I<   [kworker/3:1H-kblockd]
   2854    2797 S    (sd-pam)
   2903    2797 Ss   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2904    2797 S<sl /usr/bin/pipewire
   2906    2748 Ssl+ /usr/libexec/gdm-wayland-session gnome-session
   2916    2906 Sl+  /usr/libexec/gnome-session-init-worker gnome-login
   2917    2797 Ss   /usr/bin/mpris-proxy
   2918    2797 S<sl /usr/bin/wireplumber
   2919       1 SNsl /usr/libexec/rtkit-daemon
   2921    2797 Ssl  /usr/bin/pipewire -c filter-chain.conf
   2922    2797 S<sl /usr/bin/pipewire-pulse
   2950    2797 Ssl  /usr/libexec/gcr-ssh-agent --base-dir /run/user/60578/gcr
   2951    2797 Ssl  /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/60578/keyring
